Date;VIX
27/05/2021;20.16
28/05/2021;19.15
31/05/2021;#N/A
01/06/2021;20.75
02/06/2021;20.27
03/06/2021;21.05
04/06/2021;19.52
07/06/2021;19.9
08/06/2021;20.89
09/06/2021;20.29
10/06/2021;19.83
11/06/2021;23.31
14/06/2021;20.71
15/06/2021;22.34
16/06/2021;22.8
17/06/2021;23.32
18/06/2021;27.02
21/06/2021;24.09
22/06/2021;22.81
23/06/2021;22.93
24/06/2021;23.36
25/06/2021;22.3
28/06/2021;25.05
29/06/2021;24.77
30/06/2021;25.1
01/07/2021;24.81
02/07/2021;27.46
05/07/2021;#N/A
06/07/2021;28.51
07/07/2021;28.26
08/07/2021;29.62
09/07/2021;27.21
12/07/2021;30.14
13/07/2021;30.42
14/07/2021;30.68
15/07/2021;30.64
16/07/2021;30.35
19/07/2021;35.2
20/07/2021;22.01
21/07/2021;19.66
